hidden_dim,n_layers,lr,batch_size,weight_decay,alpha,wl_mean_rmse,Q_mean_rmse,wl_std_rmse,Q_std_rmse
128,2,0.0001,64,0.0,1.0,0.11959096,72.22661,0.01817697,15.651662
128,2,0.0001,64,0.0,2.0,0.12353499,72.87041,0.017827224,15.842255
128,2,0.0001,64,0.0,3.0,0.13306665,76.639915,0.014901015,16.786991
128,2,0.0001,64,0.0,4.0,0.13716653,81.22539,0.015638286,16.378448
128,2,0.0001,64,0.0001,1.0,0.1194623,72.03252,0.018537272,15.687702
128,2,0.0001,64,0.0001,2.0,0.12371434,72.914635,0.017750489,15.786201
128,2,0.0001,64,0.0001,3.0,0.13114865,78.05437,0.015661497,15.351576
128,2,0.0001,64,0.0001,4.0,0.13725737,81.27799,0.015706357,16.342045
128,2,0.0001,64,0.001,1.0,0.11745821,70.300735,0.018846612,16.835062
128,2,0.0001,64,0.001,2.0,0.11906972,71.131,0.01906556,15.998694
128,2,0.0001,64,0.001,3.0,0.13088496,76.0492,0.014694347,16.818687
128,2,0.0001,64,0.001,4.0,0.13572703,80.760445,0.015311006,15.774598
128,2,0.0001,64,0.01,1.0,0.11078347,71.6772,0.020319186,17.66443
128,2,0.0001,64,0.01,2.0,0.1136073,71.97434,0.018850641,17.380955
128,2,0.0001,64,0.01,3.0,0.12010069,74.3823,0.016446555,17.75699
128,2,0.0001,64,0.01,4.0,0.13063718,78.59651,0.015745653,17.846375
128,2,0.0005,32,0.0,1.0,0.05365222,45.889088,0.014866475,9.686256
128,2,0.0005,32,0.0,2.0,0.047004126,42.07986,0.014776521,8.0197935
128,2,0.0005,32,0.0,3.0,0.04696897,45.1058,0.016065955,10.276983
128,2,0.0005,32,0.0,4.0,0.046891354,45.186016,0.014806491,10.950937
128,2,0.0005,32,0.0001,1.0,0.047411095,44.939636,0.013051723,9.969136
128,2,0.0005,32,0.0001,2.0,0.04096384,40.648777,0.013509962,7.103172
128,2,0.0005,32,0.0001,3.0,0.040448673,42.24846,0.01576599,9.778044
128,2,0.0005,32,0.0001,4.0,0.043092646,41.827446,0.0136886425,10.607043
128,2,0.0005,32,0.001,1.0,0.04738597,44.51725,0.014922145,9.857098
128,2,0.0005,32,0.001,2.0,0.043218765,41.414497,0.012566887,8.41538
128,2,0.0005,32,0.001,3.0,0.04701487,42.35139,0.010702461,9.949043
128,2,0.0005,32,0.001,4.0,0.04213657,41.053978,0.010181082,10.089224
128,2,0.0005,32,0.01,1.0,0.06537526,43.21117,0.01885431,9.9185
128,2,0.0005,32,0.01,2.0,0.066159055,44.501656,0.020076811,9.074498
128,2,0.0005,32,0.01,3.0,0.069422916,46.704044,0.022313874,8.635801
128,2,0.0005,32,0.01,4.0,0.069109485,48.2808,0.023196097,9.4704
128,2,0.0005,64,0.0,1.0,0.06823731,51.303413,0.014472405,10.302319
128,2,0.0005,64,0.0,2.0,0.05799064,46.943268,0.015738886,8.782517
128,2,0.0005,64,0.0,3.0,0.058372628,48.476185,0.0175611,12.469604
128,2,0.0005,64,0.0,4.0,0.05823911,46.565125,0.01729218,10.991354
128,2,0.0005,64,0.0001,1.0,0.062719055,47.70666,0.017876416,9.986822
128,2,0.0005,64,0.0001,2.0,0.05465948,46.316887,0.016190084,9.117955
128,2,0.0005,64,0.0001,3.0,0.05426539,47.591244,0.018565616,12.435396
128,2,0.0005,64,0.0001,4.0,0.05118104,45.62094,0.017526591,10.898126
128,2,0.0005,64,0.001,1.0,0.0635349,46.68051,0.017782925,9.77241
128,2,0.0005,64,0.001,2.0,0.05491191,44.258415,0.012800624,8.915094
128,2,0.0005,64,0.001,3.0,0.053708266,45.34126,0.011374973,11.831925
128,2,0.0005,64,0.001,4.0,0.052647978,43.90905,0.014273132,10.236743
128,2,0.0005,64,0.01,1.0,0.073523834,46.49787,0.021770008,9.575637
128,2,0.0005,64,0.01,2.0,0.077515855,48.84299,0.024472298,8.886812
128,2,0.0005,64,0.01,3.0,0.079061285,50.554085,0.024988445,10.832397
128,2,0.0005,64,0.01,4.0,0.08082537,52.50111,0.023968995,10.923701
128,2,0.001,32,0.0,1.0,0.03959654,37.615547,0.015627349,10.089477
128,2,0.001,32,0.0,2.0,0.038008895,37.030544,0.015908591,9.7086315
128,2,0.001,32,0.0,3.0,0.037458874,36.44381,0.0134531325,9.269376
128,2,0.001,32,0.0,4.0,0.03578141,37.028435,0.012685827,9.862266
128,2,0.001,32,0.0001,1.0,0.03546711,37.890156,0.012602617,10.17417
128,2,0.001,32,0.0001,2.0,0.035170134,36.452778,0.014269337,9.470223
128,2,0.001,32,0.0001,3.0,0.033974685,37.308544,0.014672685,8.919396
128,2,0.001,32,0.0001,4.0,0.036480255,38.2832,0.01372297,9.642469
128,2,0.001,32,0.001,1.0,0.03262808,35.052048,0.012024226,9.346399
128,2,0.001,32,0.001,2.0,0.034368474,35.215145,0.01516248,9.868674
